ym,gender,rent
202301,F,360421
202301,M,697754
202302,F,542432
202302,M,965671
202303,F,1027690
202303,M,1609325
202304,F,1097146
202304,M,1696354
202305,F,1351802
202305,M,2064491
202306,F,1321042
202306,M,2109662
202307,F,998579
202307,M,1751806
202308,F,996270
202308,M,1761714
202309,F,1222268
202309,M,1969539
202310,F,1448403
202310,M,2288752
202311,F,886891
202311,M,1566410
202312,F,508684
202312,M,995622
202401,F,470678
202401,M,944439
202402,F,496134
202402,M,953764
202403,F,824056
202403,M,1439469
202404,F,1285329
202404,M,2015239
202405,F,1329729
202405,M,2134523
202406,F,1318038
202406,M,2216158
202407,F,945289
202407,M,1779195
202408,F,1012739
202408,M,1909724
202409,F,1141636
202409,M,1959368
202410,F,1288921
202410,M,2151369
202411,F,919849
202411,M,1666452
202412,F,554389
202412,M,1140545
202501,F,397786
202501,M,866385
202502,F,382734
202502,M,824681
202503,F,745512
202503,M,1386868
202504,F,1003675
202504,M,1683236
202505,F,1056964
202505,M,1807426
202506,F,1076382
202506,M,1919809
202507,F,891660
202507,M,1756380
202508,F,906028
202508,M,1750405
202509,F,1074622
202509,M,1912568
202510,F,910927
202510,M,1642879
202511,F,829307
202511,M,1580034
202512,F,467629
202512,M,1025175
